title,genres,Awful,Bad,Average,Good,Excellent
'Tis the Season for Love (2015),Romance,0,1,0,0,0
"'burbs, The (1989)",Comedy,2,3,3,6,3
'night Mother (1986),Drama,0,0,1,0,0
10 Cloverfield Lane (2016),Thriller,0,0,5,7,2
100 Streets (2016),Drama,0,0,1,0,0
"11'09""01 - September 11 (2002)",Drama,0,0,0,2,0
"11th Hour, The (2007)",Documentary,0,0,0,1,0
12 Angry Men (1957),Drama,3,0,3,23,28
12 Years a Slave (2013),Drama,0,1,3,11,1
13 Assassins (Jûsan-nin no shikaku) (2010),Action,0,0,1,1,2
13 Ghosts (1960),Horror,0,0,3,0,1
13 Hours (2016),Drama,0,1,1,2,1
13th (2016),Documentary,0,0,0,0,2
15 Minutes (2001),Thriller,1,3,1,3,2
2 Days in New York (2012),Comedy,0,0,1,0,0
20 Feet from Stardom (Twenty Feet from Stardom) (2013),Documentary,0,0,0,1,1
20 Million Miles to Earth (1957),Sci-Fi,0,0,0,0,1
2010: The Year We Make Contact (1984),Sci-Fi,0,1,4,11,1
21 Up (1977),Documentary,0,0,0,3,0
21 and Over (2013),Comedy,0,0,2,1,1
28 Days (2000),Drama,0,3,11,8,3
28 Up (1985),Documentary,0,0,0,3,0
3 Extremes (Three... Extremes) (Saam gaang yi) (2004),Horror,0,0,1,2,0
3 Women (Three Women) (1977),Drama,0,0,0,2,1
31 (2016),Horror,0,0,0,1,0
35 Up (1991),Documentary,0,0,0,3,0
4 Little Girls (1997),Documentary,0,0,0,1,1
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",Drama,0,0,0,3,0
42 (2013),Drama,0,0,0,1,0
42 Up (1998),Documentary,0,0,0,2,0
49 Up (2005),Documentary,0,0,0,2,0
54 (1998),Drama,1,3,1,0,0
6 Days to Air: The Making of South Park (2011),Documentary,0,0,0,1,0
61* (2001),Drama,0,0,0,0,1
"6th Man, The (Sixth Man, The) (1997)",Comedy,1,1,0,0,0
7 Days in Hell (2015),Comedy,0,0,0,2,0
8 Heads in a Duffel Bag (1997),Comedy,1,0,0,3,0
8 Mile (2002),Drama,3,3,11,20,4
8 Seconds (1994),Drama,0,1,0,1,0
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),Comedy,0,0,2,1,0
9/11 (2002),Documentary,0,0,0,0,1
99 francs (2007),Comedy,0,0,0,1,0
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),Documentary,0,0,0,1,0
A Bad Moms Christmas (2017),Comedy,0,0,0,1,0
A German Life (2016),Documentary,0,0,1,0,0
A Merry Friggin' Christmas (2014),Comedy,0,1,0,0,0
A Most Wanted Man (2014),Thriller,0,0,0,0,1
A Plasticine Crow (1981),Animation,0,0,0,0,1
A Story of Children and Film (2013),Documentary,0,0,0,1,0
A Very Murray Christmas (2015),Comedy,0,0,1,0,0
"ABCs of Death, The (2012)",Horror,0,0,0,1,0
About Adam (2000),Comedy,0,0,0,2,0
Absentia (2011),Horror,0,0,0,1,0
Accepted (2006),Comedy,1,1,6,6,0
"Accused, The (1988)",Drama,0,0,0,5,0
Ace Ventura: Pet Detective (1994),Comedy,12,32,54,46,17
Ace Ventura: When Nature Calls (1995),Comedy,10,28,21,24,5
"Ace in the Hole (Big Carnival, The) (1951)",Drama,0,0,1,0,0
Aces: Iron Eagle III (1992),Action,1,1,1,0,0
Across the Hall (2009),Thriller,0,1,0,0,0
"Act of Killing, The (2012)",Documentary,0,0,0,0,1
Adanggaman (2000),Drama,0,1,0,0,0
Adventures in Plymptoons! (2011),Documentary,0,0,0,1,0
Advise and Consent (1962),Drama,0,0,0,0,1
"Affair of the Necklace, The (2001)",Drama,0,0,1,1,0
